country,year,population,gdp,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,oil_consumption,other_renewable_consumption,solar_consumption,wind_consumption
Brunei,2017,430290,0,0,0,0,0,0,0,0,0,0
Brunei,2018,434283,0,0,0,0,0,0,0,0,0,0
Brunei,2019,438058,0,0,0,0,0,0,0,0,0,0
Brunei,2020,441736,0,0,0,0,0,0,0,0,0,0
Brunei,2021,445382,0,0,0,0,0,0,0,0,0,0
Brunei,2022,449002,0,0,0,0,0,0,0,0,0,0
Cambodia,2017,15830694,55370772480,0,0,0,0,0,0,0,0,0
Cambodia,2018,16025242,59541852160,0,0,0,0,0,0,0,0,0
Cambodia,2019,16207746,0,0,0,0,0,0,0,0,0,0
Cambodia,2020,16396864,0,0,0,0,0,0,0,0,0,0
Cambodia,2021,16589031,0,0,0,0,0,0,0,0,0,0
Indonesia,2017,264498848,2.92427E+12,24.335,566.109,1845.782,432.153,49.586,847.52,34.474,0.077,0
Indonesia,2018,267066848,3.07546E+12,35.047,655.729,1975.415,445.286,57.244,874.4,75.269,0.239,0.503
Indonesia,2019,269582880,0,59.199,801.231,2093.457,439.988,55.78,852.238,74.551,0.312,1.276
Indonesia,2020,271857984,0,77.743,765.38,1890.595,375.176,63.884,750.039,78.701,0.449,1.247
Indonesia,2021,273753184,0,86.046,763.23,1914.898,370.807,64.624,780.862,87.726,0.504,1.143
Indonesia,2022,275501344,0,96.636,1216.511,2437.859,370.15,71.162,851.199,107.549,0.781,0.928
Laos,2017,6997925,43945238528,0,0,0,0,0,0,0,0,0
Laos,2018,7105008,46666960896,0,0,0,0,0,0,0,0,0
Laos,2019,7212058,0,0,0,0,0,0,0,0,0,0
Laos,2020,7319397,0,0,0,0,0,0,0,0,0,0
Laos,2021,7425055,0,0,0,0,0,0,0,0,0,0
Malaysia,2017,31975812,7.39E+11,4.405,241.405,1109.144,450.442,71.445,417.297,2.442,0.878,0
Malaysia,2018,32399270,7.74E+11,5.067,258.943,1128.862,446.778,69.649,423.141,4.313,1.672,0
Malaysia,2019,32804024,0,7.531,244.729,1156.852,452.151,69.052,459.972,3.626,3.702,0
Malaysia,2020,33199988,0,9.193,288.092,1103.781,436.137,73.335,379.553,3.653,5.149,0
Malaysia,2021,33573872,0,12.738,262.446,1168.514,494.484,80.837,411.584,3.682,6.582,0
Malaysia,2022,33938216,0,13.967,260.545,1234.011,493.819,84.758,479.647,3.682,7.094,0
Myanmar,2017,52288344,2.98E+11,0,0,0,0,0,0,0,0,0
Myanmar,2018,52666016,3.18E+11,0,0,0,0,0,0,0,0,0
Myanmar,2019,53040212,0,0,0,0,0,0,0,0,0,0
Myanmar,2020,53423200,0,0,0,0,0,0,0,0,0,0
Myanmar,2021,53798088,0,0,0,0,0,0,0,0,0,0
Myanmar,2022,54179312,0,0,0,0,0,0,0,0,0,0
Philippines,2017,106738496,8.59E+11,5.572,179.974,465.896,37.744,25.577,248.178,29.462,3.197,2.91
Philippines,2018,108568832,9.12E+11,5.735,190.139,480.32,40.888,24.827,249.293,30.02,3.305,3.05
Philippines,2019,110380800,0,6.108,203.311,499.77,42.16,21.155,254.299,30.363,3.285,2.746
Philippines,2020,112190984,0,5.175,204.062,450.692,38.428,18.888,208.201,31.134,3.605,2.696
Philippines,2021,113880336,0,5.802,219.963,477.348,32.082,24.474,225.303,30.538,3.961,3.584
Philippines,2022,115559008,0,6.901,233.034,512.254,30.804,26.442,248.417,32.341,4.783,2.791
Singapore,2017,5764489,3.97E+11,0,10.446,947.196,122.877,0,813.873,2.474,0.327,0
Singapore,2018,5814543,4.10E+11,0,5.552,948.042,122.863,0,819.627,2.434,0.358,0
Singapore,2019,5866408,0,0,5.325,927.812,125.488,0,796.999,2.427,0.513,0
Singapore,2020,5909874,0,0,5.037,908.674,125.984,0,777.654,2.186,0.775,0
Singapore,2021,5941063,0,0,5.397,907.55,133.519,0,768.634,2.147,1.038,0
Singapore,2022,5975689,0,0,4.814,873.991,130.594,0,738.583,3.203,1.74,0
Thailand,2017,70898208,1.07923E+12,21.251,208.857,1358.3,500.838,12.474,648.605,29.661,12.09,2.951
Thailand,2018,71127808,1.12403E+12,23.247,222.67,1384.7,500.196,20.1,661.834,37.491,12.004,4.342
Thailand,2019,71307768,0,25.956,198.453,1376.653,509.396,16.633,668.805,40.178,13.565,9.674
Thailand,2020,71475664,0,25.967,212.183,1280.556,468.529,11.923,599.843,39.229,13.213,8.457
Thailand,2021,71601104,0,23.291,217.274,1290.637,470.137,11.88,603.226,42.793,13.055,9.242
Thailand,2022,71697024,0,20.923,197.559,1303.406,443.181,17.204,662.667,43.292,12.721,8.917
Vietnam,2017,94033048,6.18E+11,0,329.915,733.621,95.207,233.126,308.498,0.244,0.021,0.931
Vietnam,2018,94914328,6.61E+11,0,439.514,860.644,96.596,223.535,324.533,0.403,0.278,1.288
Vietnam,2019,95776712,0,0,580.664,1013.852,98.43,175.403,334.758,0.403,13.844,1.903
Vietnam,2020,96648680,0,0,609.741,980.495,88.394,192.722,282.359,0.403,28.522,2.82
Vietnam,2021,97468024,0,0,599.074,933.359,71.989,198.675,262.296,0.504,67.457,6.26
Vietnam,2022,98186856,0,0,569.25,933.713,77.972,250.172,286.49,1.152,68.75,20.974
