sepal_length,sepal_width,petal_length,petal_width,iris_species,length_difference,width_difference,distance,rank,,,,,,
5.2,4.1,1.5,0.1,Iris-setosa,2.25,1.96,2.051828453,1,,Sepal Length =,3.7,,,
4.6,3.6,1,0.2,Iris-setosa,0.81,3.61,2.102379604,2,,Sepal Width = ,5.5,,,
5.1,3.8,1.5,0.3,Iris-setosa,1.96,2.89,2.202271555,3,,,,,,
5.1,3.8,1.9,0.4,Iris-setosa,1.96,2.89,2.202271555,3,,Iris-Virginica,0,,,
5.1,3.8,1.6,0.2,Iris-setosa,1.96,2.89,2.202271555,3,,Iris-Versicolor,0,,,
5.5,4.2,1.4,0.2,Iris-setosa,3.24,1.69,2.220360331,6,,Iris-Setosa,12,,,
5.1,3.7,1.5,0.4,Iris-setosa,1.96,3.24,2.28035085,7,,,,,,
5.7,4.4,1.5,0.4,Iris-setosa,4,1.21,2.282542442,8,,Classify the following:,,,,
4.6,3.4,1.4,0.3,Iris-setosa,0.81,4.41,2.284731932,9,,1. SL = 2.5 ; SW = 1.7,,,4. SL = 3.8 ; SW = 6.2,
5,3.6,1.4,0.2,Iris-setosa,1.69,3.61,2.302172887,10,,Iris-Virginica,1,,Iris-Virginica,0
5.4,3.9,1.7,0.4,Iris-setosa,2.89,2.56,2.334523506,11,,Iris-Versicolor,3,,Iris-Versicolor,0
5.4,3.9,1.3,0.4,Iris-setosa,2.89,2.56,2.334523506,11,,Iris-Setosa,7,,Iris-Setosa,11
4.8,3.4,1.6,0.2,Iris-setosa,1.21,4.41,2.370653918,13,,,,,,
4.8,3.4,1.9,0.2,Iris-setosa,1.21,4.41,2.370653918,13,,2. SL = 3.2 ; SW = 3.8,,,5. SL = 3.7 ; SW = 5.5,
5,3.5,1.3,0.3,Iris-setosa,1.69,4,2.385372088,15,,Iris-Virginica,0,,Iris-Virginica,0
5,3.5,1.6,0.6,Iris-setosa,1.69,4,2.385372088,15,,Iris-Versicolor,0,,Iris-Versicolor,0
4.4,3.2,1.3,0.2,Iris-setosa,0.49,5.29,2.404163056,17,,Iris-Setosa,12,,Iris-Setosa,12
5.3,3.7,1.5,0.2,Iris-setosa,2.56,3.24,2.408318916,18,,,,,,
5.1,3.5,1.4,0.2,Iris-setosa,1.96,4,2.441311123,19,,3. SL = 4.3 ; SW = 3.9,,,,
5.1,3.5,1.4,0.3,Iris-setosa,1.96,4,2.441311123,19,,Iris-Virginica,0,,,
4.6,3.2,1.4,0.2,Iris-setosa,0.81,5.29,2.469817807,21,,Iris-Versicolor,0,,,
5,3.4,1.5,0.2,Iris-setosa,1.69,4.41,2.469817807,22,,Iris-Setosa,12,,,
5,3.4,1.6,0.4,Iris-setosa,1.69,4.41,2.469817807,22,,,,,,
5.4,3.7,1.5,0.2,Iris-setosa,2.89,3.24,2.475883681,24,,,,,,
5.2,3.5,1.5,0.2,Iris-setosa,2.25,4,2.5,25,,,,,,
4.7,3.2,1.3,0.2,Iris-setosa,1,5.29,2.507987241,26,,,,,,
4.7,3.2,1.6,0.2,Iris-setosa,1,5.29,2.507987241,26,,,,,,
5.1,3.4,1.5,0.2,Iris-setosa,1.96,4.41,2.523885893,28,,,,,,
5,3.3,1.4,0.2,Iris-setosa,1.69,4.84,2.555386468,29,,,,,,
4.6,3.1,1.5,0.2,Iris-setosa,0.81,5.76,2.563201124,30,,,,,,
4.3,3,1.1,0.1,Iris-setosa,0.36,6.25,2.570992026,31,,,,,,
5.8,4,1.2,0.2,Iris-setosa,4.41,2.25,2.58069758,32,,,,,,
5.2,3.4,1.4,0.2,Iris-setosa,2.25,4.41,2.58069758,33,,,,,,
4.4,3,1.3,0.2,Iris-setosa,0.49,6.25,2.596150997,34,,,,,,
5.1,3.3,1.7,0.5,Iris-setosa,1.96,4.84,2.607680962,35,,,,,,
5.7,3.8,1.7,0.3,Iris-setosa,4,2.89,2.62488095,36,,,,,,
4.8,3.1,1.6,0.2,Iris-setosa,1.21,5.76,2.640075756,37,,,,,,
5,3.2,1.2,0.2,Iris-setosa,1.69,5.29,2.641968963,38,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,1.44,5.76,2.683281573,39,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,1.44,5.76,2.683281573,39,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,1.44,5.76,2.683281573,39,,,,,,
5.5,3.5,1.3,0.2,Iris-setosa,3.24,4,2.690724809,42,,,,,,
4.4,2.9,1.4,0.2,Iris-setosa,0.49,6.76,2.692582404,43,,,,,,
5.4,3.4,1.7,0.2,Iris-setosa,2.89,4.41,2.701851217,44,,,,,,
5.4,3.4,1.5,0.4,Iris-setosa,2.89,4.41,2.701851217,44,,,,,,
4.8,3,1.4,0.1,Iris-setosa,1.21,6.25,2.731300057,46,,,,,,
4.8,3,1.4,0.3,Iris-setosa,1.21,6.25,2.731300057,46,,,,,,
4.9,3,1.4,0.2,Iris-setosa,1.44,6.25,2.773084925,48,,,,,,
5,3,1.6,0.2,Iris-setosa,1.69,6.25,2.817800561,49,,,,,,
5.4,3,4.5,1.5,Iris-versicolor,2.89,6.25,3.023243292,50,,,,,,
6,3.4,4.5,1.6,Iris-versicolor,5.29,4.41,3.1144823,51,,,,,,
5.6,3,4.5,1.5,Iris-versicolor,3.61,6.25,3.140063694,52,,,,,,
5.6,3,4.1,1.3,Iris-versicolor,3.61,6.25,3.140063694,52,,,,,,
5.2,2.7,3.9,1.4,Iris-versicolor,2.25,7.84,3.176476035,54,,,,,,
5.9,3.2,4.8,1.8,Iris-versicolor,4.84,5.29,3.182766093,55,,,,,,
5.7,3,4.2,1.2,Iris-versicolor,4,6.25,3.201562119,56,,,,,,
5.6,2.9,3.6,1.3,Iris-versicolor,3.61,6.76,3.220248438,57,,,,,,
4.9,2.5,4.5,1.7,Iris-virginica,1.44,9,3.231098884,58,,,,,,
6.2,3.4,5.4,2.3,Iris-virginica,6.25,4.41,3.264965543,59,,,,,,
5.7,2.9,4.2,1.3,Iris-versicolor,4,6.76,3.280243893,60,,,,,,
4.5,2.3,1.3,0.3,Iris-setosa,0.64,10.24,3.2984845,61,,,,,,
5.6,2.8,4.9,2,Iris-virginica,3.61,7.29,3.301514804,62,,,,,,
5.1,2.5,3,1.1,Iris-versicolor,1.96,9,3.310589071,63,,,,,,
